r,vel,vel_u
0.19322913885116544, 25.418446985361726, 25.418446985361726
0.3244792222976678, 33.95744790853867, 36.93617101058849
0.45937508344650263, 42.89361721468811, 47.46100248570112
0.6161456108093254, 51.829797883764456, 56.39717179185057
0.7911458611488339, 59.57446204099635, 63.54608905608714
0.9624999165534963, 66.1276665010182, 69.10638960306801
1.1411459445953365, 71.4893658121225, 75.06383580716765
1.3343750834465018, 76.25532391169489, 80.42553511827194
1.5458335280418385, 80.82269781978101, 86.38298132237158
1.7864581942558275, 84.19858362333991, 90.55318684748521
2.0125001668930045, 87.77305361838508, 94.32624671548005
2.2494790554046626, 89.95745131741673, 98.09929522054802
2.4973961114883405, 91.94326482496213, 100.87943413111158
2.730729222297666, 93.92908401397096, 104.05674142464765
2.97135430574417, 95.1205721184982, 106.4397119522387
3.2119793891906725, 96.1134760315392, 108.82269952422007
